Madrid-Norte;28067367;CPR INF-PRI-SEC;COLEGIO PEÑALVENTO;Calle Del Doctor Torres Feced , 2;Colmenar Viejo;-;28770;902252232;918461587;-;Privado Concertado
Madrid-Oeste;28065772;CPR INF-PRI-SEC;COLEGIO QUERCUS;Avenida De La Condesa De Chinchón , 21;Boadilla del Monte;-;28660;916338516;916339278;Transt. Desarrollo;Privado Concertado
Madrid-Oeste;28040507;CPR INF-PRI-SEC;COLEGIO SAINT MARY OF FATIMA;Calle Transversal 4 ,     4;Pozuelo de Alarcón;-;28223;913523120;91 3523889;-;Privado
Madrid-Oeste;28067631;CPR INF-PRI-SEC;COLEGIO SAN JAIME;Calle Ruperto Chapí ;Majadahonda;-;28222;916799246;91 6799298;-;Privado Concertado
Madrid-Capital;28014685;CPR INF-PRI-SEC;COLEGIO SENARA;Avenida De Moratalaz , 178;Madrid;Moratalaz;28030;913016070;913016075;-;Privado Concertado
Madrid-Capital;28073173;CPR INF-PRI-SEC;COLEGIO STELLA MARIS LA GAVIA;Calle Peñaranda De Bracamonte C/v Entrepeñas ;Madrid;Villa de Vallecas;28051;-;-;-;Privado Concertado
Madrid-Capital;28070846;CPR INF-PRI-SEC;COLEGIO TORREVILANO;Calle Del Embalse De Navacerrada , 9;Madrid;Villa de Vallecas;28051;914945959;913851811;-;Privado Concertado
Madrid-Capital;28065747;CPR INF-PRI-SEC;COLEGIO VALDEFUENTES;Calle De Ana De Austria , 6;Madrid;Hortaleza;28050;902252292;911441495;-;Privado Concertado
Madrid-Sur;28067847;CPR INF-PRI-SEC;COLEGIO VALLE DEL MIRO;Calle De Clara Campoamor , 2;Valdemoro;-;28342;918658070;918658164;-;Privado Concertado
Madrid-Oeste;28064196;CPR INF-PRI-SEC;COLEGIO VALLMONT;Calle Mallorca , 2;Villanueva del Pardillo;-;28229;918102900;911413554;-;Privado Concertado
Madrid-Este;28073070;CPR INF-PRI-SEC;COLEGIO VEGASUR;Calle De Fernando El Católico , s/n;San Martín de la Vega;-;28339;-;-;-;Privado Concertado
Madrid-Sur;28023121;CPR INF-PRI-SEC;COLEGIO VILLAEUROPA ;Calle De Benito Pérez Galdós , 13;Móstoles;-;28935;916170269;916640700;-;Privado Concertado
Madrid-Capital;28069273;CPR INF-PRI-SEC;COLEGIO VILLAMADRID;Calle Transversal Sexta , 17;Madrid;Villaverde;28021;-;-;-;Privado Concertado
Madrid-Sur;28033141;CPR INF-PRI-SEC;COLEGIO ZULOAGA;Calle Duero , 35;Villaviciosa de Odón;-;28670;916167125;916168257;-;Privado
Madrid-Capital;28035275;CPR INF-PRI-SEC;COMUNIDAD INFANTIL DE VILLAVERDE;Calle De Villastar , 10;Madrid;Villaverde;28021;917950884;917100331;-;Privado Concertado
Madrid-Capital;28011647;CPR INF-PRI-SEC;CORAZON DE MARIA;Calle De Zigia , 1;Madrid;Ciudad Lineal;28027;913671269;913682106;-;Privado Concertado
Madrid-Capital;28011635;CPR INF-PRI-SEC;CORAZON INMACULADO;Calle De López De Hoyos , 59;Madrid;Chamartín;28002;915618049;915614089;-;Privado Concertado
Madrid-Capital;28011659;CPR INF-PRI-SEC;CORPUS CHRISTI;Calle De Amara , 4;Madrid;Ciudad Lineal;28027;913679327;914086723;-;Privado Concertado
Madrid-Capital;28007127;CPR INF-PRI-SEC;CRISTO REY;Avenida De San Luis , 29;Madrid;Hortaleza;28033;913021636;917668471;-;Privado Concertado
Madrid-Capital;28007139;CPR INF-PRI-SEC;CRISTO REY;Calle De Santa Úrsula , 5;Madrid;Latina;28011;914636445;915260656;-;Privado Concertado
Madrid-Oeste;28024198;CPR INF-PRI-SEC;CRISTO REY;Carretera De Las Rozas-majadahonda , 4;Rozas de Madrid, Las;-;28231;916392747;916342691;-;Privado Concertado
Madrid-Capital;28011726;CPR INF-PRI-SEC;DECROLY;Calle De Guzmán El Bueno , 60;Madrid;Chamberí;28015;915492505;915492509;-;Privado Concertado
Madrid-Sur;28003262;CPR INF-PRI-SEC;DIVINA PASTORA;Paseo Pablo Iglesias , 5;Getafe;-;28901;916950519;916951923;-;Privado Concertado
Madrid-Capital;28011763;CPR INF-PRI-SEC;DIVINA PASTORA;Calle De Emilio Ortuño , 13;Madrid;Puente de Vallecas;28038;914331150;914331251;-;Privado Concertado
Madrid-Capital;28015902;CPR INF-PRI-SEC;DIVINA PASTORA;Calle De Santa Engracia , 142;Madrid;Chamberí;28003;915341012;91 5538504;-;Privado Concertado
Madrid-Capital;28005295;CPR INF-PRI-SEC;DIVINO CORAZON;Calle Del Divino Redentor , 55-57;Madrid;Tetuán;28029;913158107;913150210;-;Privado Concertado
Madrid-Capital;28010540;CPR INF-PRI-SEC;DIVINO MAESTRO;Paseo De Extremadura , 165;Madrid;Latina;28011;914649481;914640918;-;Privado Concertado
Madrid-Capital;28069261;CPR INF-PRI-SEC;EDITH STEIN;Calle Simca , 20;Madrid;Usera;28041;913412879;-;-;Privado Concertado
Madrid-Este;28067379;CPR INF-PRI-SEC;EDUCREA EL MIRADOR;Avenida Parques Naturales , 7;Villalbilla;-;28810;911340238;911340298;-;Privado Concertado
Madrid-Capital;28006779;CPR INF-PRI-SEC;EL AVE MARIA;Calle Del Doctor Salgado , 16;Madrid;Puente de Vallecas;28038;914306527;914379444;-;Privado Concertado
Madrid-Capital;28011490;CPR INF-PRI-SEC;EL CARMELO TERESIANO;Calle De Nuñomoral , 1;Madrid;Latina;28044;917052427;917106655;-;Privado Concertado
Madrid-Capital;28015847;CPR INF-PRI-SEC;EL CID;Calle De San Cipriano , 34;Madrid;Vicálvaro;28032;917760262;917760262;-;Privado Concertado
Madrid-Norte;28024812;CPR INF-PRI-SEC;EL PILAR;Calle Real , 21;Soto del Real;-;28791;918476927;918480065;-;Privado Concertado
Madrid-Capital;28008703;CPR INF-PRI-SEC;EL PORVENIR;Calle De Bravo Murillo , 85;Madrid;Chamberí;28003;915331337;915345492;-;Privado Concertado
Madrid-Sur;28003742;CPR INF-PRI-SEC;EL SALVADOR;Calle San Vicente , 17;Leganés;-;28912;916864015;916864015;-;Privado Concertado
Madrid-Capital;28049857;CPR INF-PRI-SEC;EL VALLE;Calle De Los Juglares , s/n;Madrid;Vicálvaro;28032;917511510;917511693;-;Privado Concertado
Madrid-Capital;28065735;CPR INF-PRI-SEC;EL VALLE II;Calle De Ana De Austria , 60;Madrid;Hortaleza;28050;917188426;917188721;-;Privado Concertado
Madrid-Capital;28067321;CPR INF-PRI-SEC;EL VALLE III;Calle De Cebreiro , 2;Madrid;Fuencarral-El Pardo;28050;914273503;-;-;Privado Concertado
Madrid-Capital;28008958;CPR INF-PRI-SEC;ENRIQUETA AYMER;Calle De Mirabel , 38;Madrid;Latina;28044;917052100;915090212;-;Privado Concertado
Madrid-Oeste;28031658;CPR INF-PRI-SEC;ESCUELA LIBRE MICAEL;Carretera De La Coruña , k21,3;Rozas de Madrid, Las;-;28231;916375287;916360957;-;Privado
